Model_path,Loss,Accuracy,Precision,Recall
Models/D_V2\CNN-Adam_20240719_191253.h5,2.9293,17.1717,19.3182,17.1717
Models/D_V2\CNN-Adam_20240719_231809.h5,1.932,44.4444,68.4211,39.3939
Models/D_V2\CNN-GAP-Adam_20240719_194526.h5,1.8099,85.8586,85.4167,82.8283
Models/D_V2\CNN-GAP-Adam_20240719_235915.h5,0.4524,88.8889,88.5417,85.8586
Models/D_V2\CNN-GAP-RMS-100E_20240719_194036.h5,0.6534,86.8687,97.3684,74.7475
Models/D_V2\CNN-GAP-RMS-100E_20240719_235457.h5,0.5903,90.9091,98.5714,69.697
Models/D_V2\CNN-RMS-50E_20240719_191523.h5,2.3344,25.2525,0.0,0.0
Models/D_V2\CNN-RMS-50E_20240719_231952.h5,1.0097,58.5859,92.0,46.4646
Models/D_V2\Deeper-CNN_20240719_195716.h5,4.9707,12.1212,0.0,0.0
Models/D_V2\Deeper-CNN_20240720_001257.h5,5.1679,17.1717,0.0,0.0
Models/D_V2\Simple-CNN-100E_20240719_210229.h5,1.4361,82.8283,85.1064,80.8081
Models/D_V2\Simple-CNN-100E_20240719_234629.h5,0.7682,83.8384,95.1219,39.3939
Models/D_V2\Simple-CNN-50E_20240719_192950.h5,1.2243,80.8081,77.9412,53.5354
